"id","name","description"
2281,【免運】氣質洋裝--森林系精靈風挖肩蝴蝶結綁繩袖棉麻混紡連身裙(黑.綠XL-5L)-D450眼圈熊中大尺碼 ,"【免運】氣質洋裝--森林系精靈風挖肩蝴蝶結綁繩袖棉麻混紡連身裙(黑.綠XL-5L)-D450眼圈熊中大尺碼 | 連身裙 | 連身裙,流行服飾洋裝,女裝/男裝/牛仔休閒,【免運】氣質洋裝--森林系精靈風挖肩蝴蝶結綁繩袖棉麻混紡連身裙(黑.綠XL-5L)-D450眼圈熊中大尺碼 【免運】氣質洋裝--森林系精靈風挖肩蝴蝶結綁繩袖棉麻混紡連身裙(黑.綠XL-5L)-D450眼圈熊中大尺碼,連身裙,■舒適皺褶棉質面料;■緄邊圓領氣質優雅;■氣"
2282,源順‧有機蕎麥糙米麵條(240公克/盒，共兩盒) ,"源順‧有機蕎麥糙米麵條(240公克/盒，共兩盒) | 覆熱熟食 | 覆熱熟食,熟食/小吃,食品/飲料/零食/生鮮,源順‧有機蕎麥糙米麵條(240公克/盒，共兩盒) 源順‧有機蕎麥糙米麵條(240公克/盒，共兩盒),覆熱熟食,100%全穀物;無麩質，零添加物"
2424,Samsung Galaxy Note10+(12G/256G)6.8吋五鏡頭智慧手機 ,"Samsung Galaxy Note10+(12G/256G)6.8吋五鏡頭智慧手機 | 智慧型手機 | 智慧型手機,手機,手機/相機/耳機/穿戴,Samsung Galaxy Note10+(12G/256G)6.8吋五鏡頭智慧手機 Samsung Galaxy Note10+(12G/256G)6.8吋五鏡頭智慧手機,智慧型手機,6.8吋O極限全螢幕曲面;高通S855八核心處理器;五鏡頭相"
2425,COACH  金馬車大C緹花壓紋斜背包_白色 ,"COACH  金馬車大C緹花壓紋斜背包_白色 | 斜背包 | 斜背包,COACH,精品,精品/黃金/珠寶/手錶,COACH  金馬車大C緹花壓紋斜背包_白色 COACH  金馬車大C緹花壓紋斜背包_白色,斜背包,立體金屬馬車標誌;簡約俐落 質感滿分;休閒外出輕巧好攜帶"
3448,PUMA-女性WMN Prime後背包-黑色 ,"PUMA-女性WMN Prime後背包-黑色 | 運動/登山包 | 運動/登山包,男包,女鞋/男鞋/箱包/配件,PUMA-女性WMN Prime後背包-黑色 PUMA-女性WMN Prime後背包-黑色,運動/登山包,商品型號：07659101"
3271,UAG AirPods Pro 耐衝擊防水防塵保護殼 ,"UAG AirPods Pro 耐衝擊防水防塵保護殼 | AirPods | AirPods,耳機,手機/相機/耳機/穿戴,UAG AirPods Pro 耐衝擊防水防塵保護殼 UAG AirPods Pro 耐衝擊防水防塵保護殼,AirPods,IP65防潑水及防塵功能;頂級厚矽膠材質 止滑耐磨;可拆式快掛扣設計;精準開孔完美包覆保護"
3280,Michael Kors MOTT 滑面皮革雙層鍊帶手提/斜背包(棕色) ,"Michael Kors MOTT 滑面皮革雙層鍊帶手提/斜背包(棕色) | 斜背包/鍊帶包 | 斜背包/鍊帶包,MICHAEL KORS,精品,精品/黃金/珠寶/手錶,Michael Kors MOTT 滑面皮革雙層鍊帶手提/斜背包(棕色) Michael Kors MOTT 滑面皮革雙層鍊帶手提/斜背包(棕色),斜背包/鍊帶包,優雅色調擁百搭之特質;加上品牌標誌強勢妝點;摩登滿分魅力深受青睞"
3274,桃米泉 有機薄鹽白蔭油6瓶(410ml/瓶) ,"桃米泉 有機薄鹽白蔭油6瓶(410ml/瓶) | 調味料 | 調味料,烹飪烘焙/食材,食品/飲料/零食/生鮮,桃米泉 有機薄鹽白蔭油6瓶(410ml/瓶) 桃米泉 有機薄鹽白蔭油6瓶(410ml/瓶),調味料,嚴選有機栽培黑豆;獨家自培麴菌;30年古法釀造，180天甕釀;天然有機原料、有機認證;無添加化學添加物、安"
2436,GATSBY 冰漩爽身噴霧 (極地海洋)216ml ,"GATSBY 冰漩爽身噴霧 (極地海洋)216ml | 止汗劑 | 止汗劑,身體清潔,日用清潔/洗沐/美髮,GATSBY 冰漩爽身噴霧 (極地海洋)216ml GATSBY 冰漩爽身噴霧 (極地海洋)216ml,止汗劑,含收斂成分掩蓋汗味;
添加抗菌成分預防異味;
清爽持久一整天，再也不怕流汗"
2437,『寵喵樂旗艦店』【單包】鐵鎚牌《貓砂專用除臭粉_原味》有效強力除臭 20oz ,"『寵喵樂旗艦店』【單包】鐵鎚牌《貓砂專用除臭粉_原味》有效強力除臭 20oz | 貓砂 | 貓砂,寵物用品,寵物/餐廚/開運/生活,『寵喵樂旗艦店』【單包】鐵鎚牌《貓砂專用除臭粉_原味》有效強力除臭 20oz 『寵喵樂旗艦店』【單包】鐵鎚牌《貓砂專用除臭粉_原味》有效強力除臭 20oz,貓砂,下訂前請先參考商店介紹與購物須知~謝謝^^"
2438,【Mollifix】軟鎧甲 蜜腿升級9分塑身褲 (女力黑) ,"【Mollifix】軟鎧甲 蜜腿升級9分塑身褲 (女力黑) | 壓力褲 | 壓力褲,塑身/調整型,內衣/睡衣/塑身衣,【Mollifix】軟鎧甲 蜜腿升級9分塑身褲 (女力黑) 【Mollifix】軟鎧甲 蜜腿升級9分塑身褲 (女力黑),壓力褲,美腳心機全面進化;大腿雙倍加強 雕塑蜜腿曲線;心機時尚 美尻小腳全收納"
2467,[獨家送香氛蠟燭] ghd air 專業造型負離子吹風機 ,"[獨家送香氛蠟燭] ghd air 專業造型負離子吹風機 | 吹風機 | 吹風機,美容家電,家電/電視/冷氣/冰箱,[獨家送香氛蠟燭] ghd air 專業造型負離子吹風機 [獨家送香氛蠟燭] ghd air 專業造型負離子吹風機,吹風機,原廠公司貨"
2449,(即期品)SURPUR瑞士瑞貝絲 白茶眼部凍膜 30ml(效期至2021/02/28) ,"(即期品)SURPUR瑞士瑞貝絲 白茶眼部凍膜 30ml(效期至2021/02/28) | 歐美品牌 | 歐美品牌,醫美保養,醫美/保養/彩妝/香水,(即期品)SURPUR瑞士瑞貝絲 白茶眼部凍膜 30ml(效期至2021/02/28) (即期品)SURPUR瑞士瑞貝絲 白茶眼部凍膜 30ml(效期至2021/02/28),歐美品牌,絲絨觸感給你柔嫩飽滿眼周;
玻尿酸形成補水薄膜 提亮舒緩;
"
2471,魚池鄉農會 杏鮑菇脆片-原味(90g) ,"魚池鄉農會 杏鮑菇脆片-原味(90g) | 果乾/蔬果脆片 | 果乾/蔬果脆片,瓜子/堅果/果乾,食品/飲料/零食/生鮮,魚池鄉農會 杏鮑菇脆片-原味(90g) 魚池鄉農會 杏鮑菇脆片-原味(90g),果乾/蔬果脆片,通過SGS檢驗合格，無添加防腐劑 ;純素可用 ;夾鏈袋設計"
2283,我的心機 亮白保濕防曬噴霧 SPF50 PA++++(180ml) 3瓶入 ,"我的心機 亮白保濕防曬噴霧 SPF50 PA++++(180ml) 3瓶入 | MIT品牌 | MIT品牌,開架,醫美/保養/彩妝/香水,我的心機 亮白保濕防曬噴霧 SPF50 PA++++(180ml) 3瓶入 我的心機 亮白保濕防曬噴霧 SPF50 PA++++(180ml) 3瓶入,MIT品牌,有效亮白成分添加，預防斑點形成;清爽不黏膩/水感亮白/保護隔離;無添加香"
2284,GoPro-HERO8 Black全方位運動攝影機 乘風破浪升級組 ,"GoPro-HERO8 Black全方位運動攝影機 乘風破浪升級組 | 運動攝影機 | 運動攝影機,攝影機/空拍機,手機/相機/耳機/穿戴,GoPro-HERO8 Black全方位運動攝影機 乘風破浪升級組 GoPro-HERO8 Black全方位運動攝影機 乘風破浪升級組,運動攝影機,史上功能最多手持最穩的相機;精簡化設計更貼合口袋大小;摺疊式接頭快速更換固定座;"
3376,小叮噹科學主題樂園門票-2張組* ,"小叮噹科學主題樂園門票-2張組* | 主題樂園 | 主題樂園,玩樂生活,餐券/泡湯/住宿/遊樂,小叮噹科學主題樂園門票-2張組* 小叮噹科學主題樂園門票-2張組*,主題樂園,平假日、寒暑假免加價;一票玩到底;超大室內滑雪場"
2301,[限時下殺] Apple iPhone 11 128G 6.1吋 智慧型手機 ,"[限時下殺] Apple iPhone 11 128G 6.1吋 智慧型手機 | 智慧型手機 | 智慧型手機,手機,手機/相機/耳機/穿戴,[限時下殺] Apple iPhone 11 128G 6.1吋 智慧型手機 [限時下殺] Apple iPhone 11 128G 6.1吋 智慧型手機,智慧型手機,6.1 吋 全螢幕LCD;IP68等級防潑、抗水與防塵;超廣角與廣角雙"
1854,Michael Kors 經典女香50ml ,"Michael Kors 經典女香50ml | 香水 | 香水,香氛,醫美/保養/彩妝/香水,Michael Kors 經典女香50ml Michael Kors 經典女香50ml,香水,原廠專櫃貨;網路特惠價"
3379,亞尼克生乳捲 草莓多多*2+BT21保冷袋(兩款任選)(週六到貨限定) ,"亞尼克生乳捲 草莓多多*2+BT21保冷袋(兩款任選)(週六到貨限定) | 長條蛋糕 | 長條蛋糕,蛋糕甜點,食品/飲料/零食/生鮮,亞尼克生乳捲 草莓多多*2+BT21保冷袋(兩款任選)(週六到貨限定) 亞尼克生乳捲 草莓多多*2+BT21保冷袋(兩款任選)(週六到貨限定),長條蛋糕,幸福小確幸！指定週六到貨！;法式點心的奢華手法與北海道奶霜;彈潤的泡芙蛋糕層次"
3380,【官方直營】Origins 品木宣言 靈芝養膚1+1組 ,"【官方直營】Origins 品木宣言 靈芝養膚1+1組 | 歐美品牌 | 歐美品牌,專櫃,醫美/保養/彩妝/香水,【官方直營】Origins 品木宣言 靈芝養膚1+1組 【官方直營】Origins 品木宣言 靈芝養膚1+1組,歐美品牌,全球熱銷No1靈芝水;每7.5秒賣出1瓶;CP值最高機能水;效提升彈潤度 具強大抗老化功效"
7048,irest QQ冷凝膠涼墊特價組合1大+1枕墊(60*150cm*1件及55*27cm*1件)，不變硬，不發霉，可冷藏，可手洗，台灣專利+製造【睡眠達人】,"irest QQ冷凝膠涼墊特價組合1大+1枕墊(60*150cm*1件及55*27cm*1件)，不變硬，不發霉，可冷藏，可手洗，台灣專利+製造【睡眠達人】吹冷氣～易感冒又傷荷包！ 
只要有QQ冷凝膠涼墊+風扇，涼爽又省錢！
附【睡眠達人】保証書，品質保証！ 
"
2285,MK MICHAEL KORS Gemma 牛皮釦式肩背包(大/棕色) ,"MK MICHAEL KORS Gemma 牛皮釦式肩背包(大/棕色) | 購物包/肩背包 | 購物包/肩背包,MICHAEL KORS,精品,精品/黃金/珠寶/手錶,MK MICHAEL KORS Gemma 牛皮釦式肩背包(大/棕色) MK MICHAEL KORS Gemma 牛皮釦式肩背包(大/棕色),購物包/肩背包,經典白字LOGO，人氣品牌商品;採用精緻牛皮製，搭配牛皮內襯;可擺14吋"
2286,SHISEIDO資生堂 安耐曬金鑽高效防曬露EX 60ml-2018新版 ,"SHISEIDO資生堂 安耐曬金鑽高效防曬露EX 60ml-2018新版 | 日系品牌 | 日系品牌,專櫃,醫美/保養/彩妝/香水,SHISEIDO資生堂 安耐曬金鑽高效防曬露EX 60ml-2018新版 SHISEIDO資生堂 安耐曬金鑽高效防曬露EX 60ml-2018新版,日系品牌,安耐曬系列;進化防曬"
2287,Parfum巴黎帕芬 香氛精油洗髮精600mlX4+護髮油10mlX2 ,"Parfum巴黎帕芬 香氛精油洗髮精600mlX4+護髮油10mlX2 | 洗髮精 | 洗髮精,美髮染護,日用清潔/洗沐/美髮,Parfum巴黎帕芬 香氛精油洗髮精600mlX4+護髮油10mlX2 Parfum巴黎帕芬 香氛精油洗髮精600mlX4+護髮油10mlX2,洗髮精,詮釋頭髮的浪漫風情;24小時持續留香;唯一機能性的香水洗髮精;Jo-馬龍 香水洗"
2453,ADISI 女UPF50+防曬外套AJ1911086 ,"ADISI 女UPF50+防曬外套AJ1911086 | 外套 | 外套,女性戶外鞋服,運動/休閒/健身/戶外,ADISI 女UPF50+防曬外套AJ1911086 ADISI 女UPF50+防曬外套AJ1911086,外套,UPF50+ 防曬面料;具瞬間散熱、阻擋紫外線雙重功效;輕便舒適、具有彈力易活動"
3791,[時時樂限定]Keds KICKSTART 耀眼珠光綁帶休閒鞋-三款任選 ,"[時時樂限定]Keds KICKSTART 耀眼珠光綁帶休閒鞋-三款任選 | 帆布鞋 | 帆布鞋,休閒女鞋,運動/休閒/健身/戶外,[時時樂限定]Keds KICKSTART 耀眼珠光綁帶休閒鞋-三款任選 [時時樂限定]Keds KICKSTART 耀眼珠光綁帶休閒鞋-三款任選,帆布鞋,經典休閒綁帶系列;兼具帥氣與柔美的氣息;時尚休閒中性鞋款"
2454,【MAMMUT 瑞士 男款 Trovat Adv Tsh《黑》】1041-09840/短袖/圓領T恤/吸濕排汗 ,"【MAMMUT 瑞士 男款 Trovat Adv Tsh《黑》】1041-09840/短袖/圓領T恤/吸濕排汗 | 背心/T恤 | 背心/T恤,男性戶外鞋服,運動/休閒/健身/戶外,【MAMMUT 瑞士 男款 Trovat Adv Tsh《黑》】1041-09840/短袖/圓領T恤/吸濕排汗 【MAMMUT 瑞士 男款 Trovat Adv Tsh《黑》】1041-09840/短袖/圓領T恤/吸濕排汗,背心/T恤,‧獨家快乾纖維質輕;‧防臭處理;‧抗"
2351,桃米泉 頂級有機蔭油6瓶(410ml/瓶) ,"桃米泉 頂級有機蔭油6瓶(410ml/瓶) | 調味料 | 調味料,烹飪烘焙/食材,食品/飲料/零食/生鮮,桃米泉 頂級有機蔭油6瓶(410ml/瓶) 桃米泉 頂級有機蔭油6瓶(410ml/瓶),調味料,嚴選有機栽培黑豆;獨家自培麴菌;30年古法釀造，180天甕釀;天然有機原料、有機認證;無添加化學添加物、安心"
7041,【RT27】100%真髮全手織 。空氣瀏海髮片 八字瀏海 太陽的後裔 宋慧喬同款 ☆雙兒網☆,【RT27】100%真髮全手織 。空氣瀏海髮片 八字瀏海 太陽的後裔 宋慧喬同款 ☆雙兒網☆頂級精工 真髮。手織空氣瀏海小髮片【RT27】100%真髮全手織☆雙兒網☆
7042,【RT10】頂級精工 遞針工藝 真實旁分線。長瀏海補髮塊 全長30公分100%真髮全手織☆雙兒網☆,【RT10】頂級精工 遞針工藝 真實旁分線。長瀏海補髮塊 全長30公分100%真髮全手織☆雙兒網☆【RT10】
7046,【DH52】 新款量多甜甜圈髮束丸子包包頭髮束☆雙兒網☆,【DH52】 新款量多甜甜圈髮束丸子包包頭髮束☆雙兒網☆【DH52】
7045,【MC082】萌Q年輕漾髮尾彎彎直髮 高仿真超自然整頂假髮☆雙兒網☆,【MC082】萌Q年輕漾髮尾彎彎直髮 高仿真超自然整頂假髮☆雙兒網☆【MC082】
7039,(e鞋院)秋氛渲彩室內皮拖鞋~藍~,"(e鞋院)秋氛渲彩室內皮拖鞋~藍~★使用高密度泡棉.柔軟有彈性. 

★大底/橡膠.靜音/抗滑 

★材質都是NO P（無毒．不含可塑劑） 

*台灣製造*




  
  
  "
7047,【MB210】韓系高仿真 萌系 大頭皮 自由分線 空氣瀏海 短梨花 短捲髮 假髮☆雙兒網☆,【MB210】韓系高仿真 萌系 大頭皮 自由分線 空氣瀏海 短梨花 短捲髮 假髮☆雙兒網☆【MB210】空氣瀏海可愛內灣短髮(仿真大頭皮)
7044,【736A】我和我的十七歲 謝欣穎代言 甜美浪漫長捲髮高仿真超自然整頂假髮☆雙兒網☆,【736A】我和我的十七歲 謝欣穎代言 甜美浪漫長捲髮高仿真超自然整頂假髮☆雙兒網☆【736A】
7040,【MR09】中老年/媽媽髮超透氣抗菌內網＊100%真髮可染可燙整頂真髮假髮☆雙兒網☆,【MR09】中老年/媽媽髮超透氣抗菌內網＊100%真髮可染可燙整頂真髮假髮☆雙兒網☆【MR09】
5540,(e鞋院)秋氛渲彩室內皮拖鞋~藍~,"(e鞋院)秋氛渲彩室內皮拖鞋~藍~★使用高密度泡棉.柔軟有彈性. 

★大底/橡膠.靜音/抗滑 

★材質都是NO P（無毒．不含可塑劑） 

*台灣製造*




  
  
  "
7057,【MC277】寶寶指定款 空氣瀏海長修臉 夢幻假髮加大頭皮超自然整頂假髮☆雙兒網☆,【MC277】寶寶指定款 空氣瀏海長修臉 夢幻假髮加大頭皮超自然整頂假髮☆雙兒網☆【MC277】寶寶指定款 空氣瀏海長修臉 夢幻假髮加大頭皮超自然整頂假髮☆雙兒網☆
2289,鐵三角 ATH-CK3TW 真無線耳機 ,"鐵三角 ATH-CK3TW 真無線耳機 | 藍牙耳機 | 藍牙耳機,耳機,手機/相機/耳機/穿戴,鐵三角 ATH-CK3TW 真無線耳機 鐵三角 ATH-CK3TW 真無線耳機,藍牙耳機,提供出眾解放感的真無線機種;配合耳形的圓弧機體與專用耳塞;提供清晰的免持通話品質;人與音樂的全新連結方式"
2288,JMS-沁涼夏日雙交叉線條夾腳平底涼鞋-米色 ,"JMS-沁涼夏日雙交叉線條夾腳平底涼鞋-米色 | 厚底 | 厚底,涼鞋/拖鞋,流行女鞋,女鞋/男鞋/箱包/配件,JMS-沁涼夏日雙交叉線條夾腳平底涼鞋-米色 JMS-沁涼夏日雙交叉線條夾腳平底涼鞋-米色,厚底,完美打造夏日清新LOOK就靠它;精緻的交叉線條繩搭上拇指夾腳設計;腳背處雙交叉設計非常特別又耐看;正常鞋板，"
2290,Samsung 三星 Galaxy Tab S6 Lite WIFI (P610) 10.4吋旗鑑平板- (4G/64G) ,"Samsung 三星 Galaxy Tab S6 Lite WIFI (P610) 10.4吋旗鑑平板- (4G/64G) | S6 系列 | S6 系列,SAMSUNG 三星,平板/平板週邊,電腦/電競/遊戲/週邊,Samsung 三星 Galaxy Tab S6 Lite WIFI (P610) 10.4吋旗鑑平板- (4G/64G) Samsung 三星 Galaxy Tab S6 Lite WIFI (P610) 10.4吋旗鑑平板- (4G/64G),S6 系列,輕量級平板x超美型金屬機"
2373,古坑鄉農會 加比山二合一即溶咖啡216g(12gx18包/盒) ,"古坑鄉農會 加比山二合一即溶咖啡216g(12gx18包/盒) | 咖啡 | 咖啡,飲料,食品/飲料/零食/生鮮,古坑鄉農會 加比山二合一即溶咖啡216g(12gx18包/盒) 古坑鄉農會 加比山二合一即溶咖啡216g(12gx18包/盒),咖啡,古坑咖啡有「御用咖啡」別名;溫潤純和;口感適中"
2367,Apple iPad Pro 2020版11吋平板電腦(第2代)_(128GB WiFi) ,"Apple iPad Pro 2020版11吋平板電腦(第2代)_(128GB WiFi) | iPad Pro | iPad Pro,iPad 全系列,平板/平板週邊,電腦/電競/遊戲/週邊,Apple iPad Pro 2020版11吋平板電腦(第2代)_(128GB WiFi) Apple iPad Pro 2020版11吋平板電腦(第2代)_(128GB WiFi),iPad Pro,Liquid Retina顯示;ProMotion"
2291,桌椅兩用手臂支撐架     180度旋轉電腦手臂支架 ,"桌椅兩用手臂支撐架     180度旋轉電腦手臂支架 | 生活家電配件 | 生活家電配件,生活家電,家電/電視/冷氣/冰箱,桌椅兩用手臂支撐架     180度旋轉電腦手臂支架 桌椅兩用手臂支撐架     180度旋轉電腦手臂支架,生活家電配件,人體工學，桌椅兩用;支撐手臂，避免痠痛;矯正坐姿，保護視力;免用工具，簡單安裝"
7051,【MF032】活力少女 波浪捲 54CM抓夾式馬尾髮片 ☆雙兒網☆,【MF032】活力少女 波浪捲 54CM抓夾式馬尾髮片 ☆雙兒網☆【MF032】活力少女 波浪捲 54CM抓夾式馬尾髮片 ☆雙兒網☆
7052,【MF033】韓系正妹 波浪捲 50CM抓夾式馬尾髮片 ☆雙兒網☆,【MF033】韓系正妹 波浪捲 50CM抓夾式馬尾髮片 ☆雙兒網☆【MF033】韓系正妹 波浪捲 50CM抓夾式馬尾髮片 ☆雙兒網☆
7055,【MA275】哈妮 空氣瀏海大波浪長捲髮假髮加大頭皮超自然整頂假髮☆雙兒網☆,【MA275】哈妮 空氣瀏海大波浪長捲髮假髮加大頭皮超自然整頂假髮☆雙兒網☆【MA275】哈妮 空氣瀏海大波浪長捲髮假髮加大頭皮超自然整頂假髮☆雙兒網☆
2539,Dr.Hsieh 20%杏仁酸深層煥膚精華30ml 2入組 ,"Dr.Hsieh 20%杏仁酸深層煥膚精華30ml 2入組 | MIT品牌 | MIT品牌,醫美保養,醫美/保養/彩妝/香水,Dr.Hsieh 20%杏仁酸深層煥膚精華30ml 2入組 Dr.Hsieh 20%杏仁酸深層煥膚精華30ml 2入組,MIT品牌,20%杏仁酸深層煥膚精華30ml*2;2013 FashionGuide 網友評鑑【特優"
2498,點睛品 雙層編織黃金手鍊17cm_計價黃金 ,"點睛品 雙層編織黃金手鍊17cm_計價黃金 | 點睛品 | 點睛品,黃金手鍊/手環,黃金/珠寶,精品/黃金/珠寶/手錶,點睛品 雙層編織黃金手鍊17cm_計價黃金 點睛品 雙層編織黃金手鍊17cm_計價黃金,點睛品,999.9純金，精緻典雅設計;自用／喜慶送禮推薦！;時尚簡約設計，適合日常佩戴"
2499,【愛上新鮮】北海道白龍王水果玉米2箱組(2.5公斤/箱/8支裝) ,"【愛上新鮮】北海道白龍王水果玉米2箱組(2.5公斤/箱/8支裝) | 蔬果 | 蔬果,生鮮食品,食品/飲料/零食/生鮮,【愛上新鮮】北海道白龍王水果玉米2箱組(2.5公斤/箱/8支裝) 【愛上新鮮】北海道白龍王水果玉米2箱組(2.5公斤/箱/8支裝),蔬果,生食口感有如水梨般清脆香甜;玉米粒顆顆香甜飽滿;高甜度"
3387,羅技 MK240 Nano 無線鍵鼠組 ,"羅技 MK240 Nano 無線鍵鼠組 | 無線鍵盤滑鼠組 | 無線鍵盤滑鼠組,鍵盤滑鼠組,鍵盤/滑鼠/繪圖板,電腦/電競/遊戲/週邊,羅技 MK240 Nano 無線鍵鼠組 羅技 MK240 Nano 無線鍵鼠組,無線鍵盤滑鼠組,防潑濺設計;持久的電池壽命;隨插即用超小型接收器"
3393,Levis 男女同款 腰包 扶桑花紋 ,"Levis 男女同款 腰包 扶桑花紋 | 後背包 | 後背包,男包,女鞋/男鞋/箱包/配件,Levis 男女同款 腰包 扶桑花紋 Levis 男女同款 腰包 扶桑花紋,後背包,街潮必備腰包;夏日扶桑花紋;度假旅遊吸睛100%"
3394,池上鄉農會 黑無籽橄欖(300g) ,"池上鄉農會 黑無籽橄欖(300g) | 果乾/蔬果脆片 | 果乾/蔬果脆片,瓜子/堅果/果乾,食品/飲料/零食/生鮮,池上鄉農會 黑無籽橄欖(300g) 池上鄉農會 黑無籽橄欖(300g),果乾/蔬果脆片,即食;泡茶搭配真愜意;包裝透明、衛生"
3395,MICHAEL KORS MATILDA 雙拉鍊蟒蛇紋牛皮肩背包-蟒紋灰色(大) ,"MICHAEL KORS MATILDA 雙拉鍊蟒蛇紋牛皮肩背包-蟒紋灰色(大) | 購物包/肩背包 | 購物包/肩背包,MICHAEL KORS,精品,精品/黃金/珠寶/手錶,MICHAEL KORS MATILDA 雙拉鍊蟒蛇紋牛皮肩背包-蟒紋灰色(大) MICHAEL KORS MATILDA 雙拉鍊蟒蛇紋牛皮肩背包-蟒紋灰色(大),購物包/肩背包,美國經典時尚首選;前設雙拉鍊袋，方便收納;精湛皮革工藝，幹練俐"
2512,PUMA-女性流行系列Evide短袖T恤-白色-歐規 ,"PUMA-女性流行系列Evide短袖T恤-白色-歐規 | 上衣 | 上衣,運動女服,運動/休閒/健身/戶外,PUMA-女性流行系列Evide短袖T恤-白色-歐規 PUMA-女性流行系列Evide短袖T恤-白色-歐規,上衣,商品型號：59725902;版型為歐規，尺寸偏大;尺寸建議挑選小一號"
3799,MK捲尺5.5M*25mm防滑包膠 安全好握持 5.5米捲尺 ,"MK捲尺5.5M*25mm防滑包膠 安全好握持 5.5米捲尺 | 五金工具 | 五金工具,生活家電,家電/電視/冷氣/冰箱,MK捲尺5.5M*25mm防滑包膠 安全好握持 5.5米捲尺 MK捲尺5.5M*25mm防滑包膠 安全好握持 5.5米捲尺,五金工具,MK捲尺5.5M*25mm;量尺"
2515,GATSBY 潔面濕紙巾(冰爽型)15張/包 ,"GATSBY 潔面濕紙巾(冰爽型)15張/包 | 濕紙巾 | 濕紙巾,尿布/濕紙巾,日用清潔/洗沐/美髮,GATSBY 潔面濕紙巾(冰爽型)15張/包 GATSBY 潔面濕紙巾(冰爽型)15張/包,濕紙巾,日本銷售NO.1男性潔面濕紙巾;
超群冰涼使用感，徹底潔淨清爽!;
去油去髒污，隨時一張潔淨清爽"
7058,【MC279】清新寶寶款 空氣瀏海 氣質甜美 假髮加大頭皮超自然整頂假髮☆雙兒網☆,【MC279】清新寶寶款 空氣瀏海 氣質甜美 假髮加大頭皮超自然整頂假髮☆雙兒網☆【MC279】清新寶寶款 空氣瀏海 氣質甜美 假髮加大頭皮超自然整頂假髮☆雙兒網☆
2501,Renova葡萄牙米其林高級餐巾紙 39x39cm(1入/40張)-多款任選《滿800出貨》 ,"Renova葡萄牙米其林高級餐巾紙 39x39cm(1入/40張)-多款任選《滿800出貨》 | 衛生紙 | 衛生紙,衛生紙,日用清潔/洗沐/美髮,Renova葡萄牙米其林高級餐巾紙 39x39cm(1入/40張)-多款任選《滿800出貨》 Renova葡萄牙米其林高級餐巾紙 39x39cm(1入/40張)-多款任選《滿800出貨》,衛生紙,全系列染料、香味皆採天然植物;不含螢光劑、重金屬、漂白劑;"
